1,2,3,4,5,6,x,y,z,TPC_Rx,TPC_Ry,TPC_Rz,x-real,y-real,z-real
-37.109,-41.791,-2.041,-106.939,-138.583,-1.526,-581.65,379.772,699.545,-1.865,-0.412,-0.279,-580.716,382.437,698.114
-50.469,-37.743,27.381,-103.731,-81.648,-79.106,-629.507,570.565,383.973,-1.337,-2.341,-0.006,-629.313,573.577,383.024
-26.37,-42.043,-12.863,-104.033,-127.405,-57.946,-596.032,228.848,758.976,-1.276,-1.406,-0.56,-595.53,231.152,758.426
-48.774,-27.873,47.536,-133.145,-87.737,-135.694,-654.944,574.839,118.34,-0.063,-2.806,-0.388,-653.196,578.194,116.639
-54.273,-41.489,50.591,-136.05,-89.179,-41.049,-575.294,608.695,299.842,-1.952,-1.556,-0.017,-572.97,612.614,298.518
-11.354,-37.025,2.251,-109.315,-137.739,-36.031,-755.97,101.867,612.558,-1.425,-1.409,-0.44,-755.45,104.568,610.711
1.837,-37.096,50.55,-111.889,-135.922,-92.096,-819.751,-77.608,211.456,0.011,-2.77,-1.169,-819.054,-75.2594,209.38
-40.734,-33.434,1.212,-106.563,-82.023,-32.991,-692.646,436.063,549.677,-1.682,-1.569,0.31,-692.307,438.519,548.999
-32.357,-35.52,-62.643,-107.766,-134.634,-46.849,-282.027,117.94,834.442,-1.189,-0.41,-0.27,-280.885,119.684,834.083
-50.498,-42.87,-51.55,-90.382,-82.267,-107.448,-318.451,196.777,869.826,-0.328,-1.512,-0.85,-317.691,197.814,870.543
-34.09,-39.818,-57.598,-100.199,-103.323,-39.64,-318.42,106.419,864.078,-0.991,-0.797,0.1,-317.684,106.323,864.786
7.685,-48.142,-18.109,-101.165,-136.641,-68.52,-505.656,-118.422,844.141,-0.756,-1.559,-0.35,-505.045,-116.286,844.301
-17.891,-26.493,-5.003,-94.182,-100.755,-84.514,-826.733,167.349,472.793,-0.583,-2.456,-0.32,-826.926,168.779,471.768
-20.133,-38.937,10.688,-100.88,-96.364,-80.139,-786.3,180.633,537.795,-0.681,-2.366,-0.211,-786.457,182.829,536.923
7.688,-32.749,-18.657,-106.275,-82.568,-30.565,-690.426,-214.765,681.726,-0.818,-1.898,0.88,-689.934,-212.401,681.506
18.068,-28.287,54.061,-126.476,-98.029,-47.527,-763.056,-353.146,57.679,-0.632,-2.841,-0.035,-762.383,-351.178,56.3028
-46.776,-24.036,16.475,-101.432,-83.555,-124.93,-698.253,568.25,267.225,-0.261,-2.798,-0.185,-698.048,570.591,265.659
-44.607,-40.566,12.732,-94.098,-84.626,-107.193,-647.124,472.616,528.814,-0.579,-2.536,-0.275,-647.502,475.15,528.387
-20.489,-33.025,-43.385,-93.21,-123.262,-122.125,-521.735,126.301,782.1,-0.263,-1.854,-1.156,-521.47,127.161,782.384
10.729,-47.222,4.35,-106.15,-84.585,-12.565,-660.335,-245.015,706.464,-1.2,-1.939,0.978,-660.074,-242.968,706.6
-6.933,-23.186,53.594,-136.965,-121.461,-24.912,-841.128,34.283,17.839,-1.609,-2.036,-0.451,-838.874,37.8107,15.6307
-48.488,-40.292,54.728,-111.045,-89.849,-64.322,-617.675,530.67,195.384,-1.823,-2.416,-0.026,-616.25,534.134,193.82
-37.802,-38.978,-0.478,-101.418,-103.593,-151.132,-651.635,390.764,628.228,0.371,-2.487,-1.1,-651.95,393.113,627.483
8.739,-44.164,58.146,-137.145,-133.396,-26.279,-779.384,-174.194,292.238,-1.262,-1.857,-0.32,-778.313,-170.587,290.909
-3.187,-40.775,30.295,-113.159,-101.449,-80.746,-834.226,-47.678,423.136,-0.349,-2.514,-0.209,-834.191,-45.0788,421.924
-13.669,-20.649,-0.726,-96.936,-127.663,-64.045,-865.8,149.055,369.206,-1.039,-2.263,-0.77,-865.401,150.763,367.039
-19.002,-23.917,-2.361,-94.988,-107.316,-105.405,-842.135,199.456,416.72,-0.193,-2.639,-0.6,-842.284,200.916,415.112
-50.531,-37.878,0.504,-100.763,-84.069,-15.934,-581.378,519.495,603.622,-2.026,-1.127,0.332,-581.436,521.59,603.236
-48.746,-39.293,-6.575,-97.384,-85.715,-48.785,-564.571,467.551,666.05,-1.53,-1.594,0.013,-564.371,469.777,665.923
24.991,-29.452,30.448,-112.852,-113.252,-179.718,-762.472,-441.32,256.271,2.402,-1.674,-0.808,-761.71,-440.316,254.7
-35.254,-49.32,28.258,-102.41,-108.794,-173.362,-672.467,372.727,539.272,1.07,-2.748,-1.01,-672.397,375.425,538.208
-37.352,-32.208,-25.266,-98.953,-81.595,-47.3,-616.375,317.196,700.038,-1.199,-1.579,0.209,-615.755,319.017,699.764
-2.636,-49.603,1.056,-98.576,-92.039,-52.938,-659.183,-76.841,741.08,-0.75,-2.026,0.314,-658.829,-74.6727,741.044
-32.685,-44.922,23.184,-96.498,-81.185,-128.588,-728.215,321.141,507.331,0.19,-2.637,-0.219,-728.69,323.458,506.729
-54.105,-23.479,11.872,-96.76,-82.911,-86.297,-618.723,649.317,289.555,-1.325,-2.464,-0.032,-618.419,651.971,288.149
17.454,-39.184,12.998,-99.575,-92.456,-86.021,-736.434,-343.389,518.99,0.281,-2.503,0.102,-736.413,-342.79,518.984
5.997,-28.236,46.453,-125.407,-127.379,-0.045,-845.113,-149.566,133.126,-1.732,-1.74,-0.276,-843.743,-146.803,131.347
7.463,-32.819,8.488,-95.031,-80.393,-105.178,-812.858,-231.534,456.464,0.572,-2.551,0.177,-812.998,-230.731,455.769
-52.878,-38.807,46.09,-112.332,-82.09,-162.3,-599.329,589.868,251.626,0.515,-2.84,-0.245,-598.782,593.038,250.251
-34.163,-32,-20.342,-102.086,-121.156,-65.503,-620.154,339.759,679.335,-1.269,-1.555,-0.651,-619.724,341.82,678.658
-16.135,-32.309,34.642,-129.237,-98.5,-69.677,-867.785,148.845,292.094,-0.836,-2.345,-0.151,-867.122,151.988,290.563
-47.836,-46.518,15.92,-107.443,-81.616,-166.716,-596.144,476.242,612.747,0.7,-2.381,-0.893,-596.186,478.712,612.861
21.195,-40.492,51.823,-114.014,-81.719,-119.536,-717.695,-409.628,229.415,1.267,-2.613,0.19,-717.179,-408.21,228.203
-2.845,-26.516,26.309,-99.928,-125.941,-22.401,-878.701,-18.459,231.234,-1.559,-2.083,-0.584,-877.963,-16.538,229.421
-16.829,-39.864,-1.01,-105.044,-138.435,-68.28,-703.605,162.424,665.561,-1.108,-1.73,-0.85,-703.181,164.899,664.697
-49.604,-46.753,44.432,-133.114,-83.867,-22.068,-613.787,537.448,424.575,-1.989,-1.27,0.286,-612.383,540.8,424.244
19.014,-21.458,20.209,-93.765,-114.409,-179.716,-814.434,-361.452,186.655,-2.352,1.716,0.584,-812.439,-361.181,184.082
-47.438,-32.831,24.252,-97.304,-85.062,-0.519,-666.642,552.173,324.952,-2.692,-1.085,0.267,-666.214,554.532,323.545
7.101,-39.392,-45.018,-99.039,-139.624,-16.426,-405.025,-97.412,846.262,-1.333,-0.791,0.468,-403.739,-95.5351,846.262
-56.055,-31.056,12.555,-96.755,-83.517,-89.958,-577.063,643.1,399.038,-1.234,-2.396,-0.145,-576.828,645.965,398.025
-0.402,-32.79,32.26,-120.141,-104.053,-32.884,-871.527,-84.253,302.496,-1.305,-2.202,0.06,-871.027,-81.5795,300.954
-12.641,-46.056,31.013,-110.394,-124.656,-66.37,-784.157,110.881,496.392,-0.97,-2.202,-0.667,-783.85,113.693,495.143
12.077,-25.297,13.174,-98.653,-118.15,-60.847,-846.803,-254.207,318.618,-0.502,-2.555,-0.438,-846.328,-253.071,316.957
-4.77,-32.981,-19.182,-90.553,-96.401,-3.233,-724.845,-40.562,655.473,-1.689,-1.56,0.653,-724.371,-39.3185,654.722
29.621,-43.528,-40.297,-109.305,-125.045,-57.184,-311.977,-248.784,878.666,-0.552,-1.288,0.501,-310.705,-246.52,879.499
-38.599,-25.957,26.761,-92.859,-133.476,-114.885,-713.712,500.977,213.233,0.329,2.606,0.913,-713.103,503.325,210.839
-54.331,-25.445,57.571,-137.617,-81.118,-54.641,-583.154,600.991,10.386,-1.984,-2.039,0.158,-580.515,604.778,8.59704
-56.282,-23.451,38.648,-133.342,-87.541,-3.756,-588.844,676.998,127.774,-2.522,-0.872,0.233,-586.51,679.821,126.123
29.397,-33.546,-8.423,-92.669,-93.694,-90.938,-619.677,-469.303,593.877,0.592,-2.291,0.168,-618.805,-469.179,594.589
-19.491,-40.422,24.273,-102.438,-105.123,-65.499,-803.301,190.107,449.061,-1.059,-2.393,-0.314,-803.174,192.667,447.595
-40.291,-49.307,-21.589,-107.763,-86.56,-44.265,-447.399,229.049,874.113,-1.052,-1.199,0.124,-446.114,231.264,874.519
-20.808,-49.971,48.151,-121.62,-106.21,-110.581,-766.912,197.961,413.115,-0.115,-2.623,-0.625,-766.425,201.156,411.862
2.492,-26.736,6.586,-90.943,-128.643,-122.38,-855.179,-96.01,389.217,0.661,-2.695,-1.067,-855.29,-95.1125,387.5
16.625,-49.805,-7.584,-99.199,-88.117,-94.295,-541.002,-279.051,797.761,0.384,-1.945,0.175,-540.347,-277.897,799.182
-2.273,-41.947,6.65,-101.002,-116.122,-167.033,-756.753,-43.817,616.794,1.352,-2.182,-1.151,-756.984,-42.4651,615.728
-39.894,-29.463,-34.101,-103.098,-97.894,-24.316,-558.191,338.487,722.152,-1.494,-1.013,0.2,-557.576,339.657,721.754
-17.875,-22.112,-17.277,-90.978,-119.446,-135.784,-796.808,184.052,504.221,0.386,-2.579,-1.08,-797.016,185.342,502.96
